nome,ano,nota,votos,descricao,generos
30. The Legend of Zelda: Breath of the Wild,2017,9.4,(11K),"After a century of hibernation, Link reawakens to once again save a ruined Hyrule from a great evil.","['Action', 'Adventure', 'Fantasy']"
31. Chrono Trigger,1995,9.4,(3.4K),"Crono, a young boy, is thrust to adventure by destiny to destroy an oncoming threat that will destroy the world in 1999.","['Action', 'Adventure', 'Fantasy']"
32. Fallout 2: A Post-Nuclear Role-Playing Game,1998,9.4,(4.4K),"In a post-nuclear future, the descendant of an ancient exiled hero must leave his tribe in search of the Garden of Eden Creation Kit, the last chance of survival for his people.","['Action', 'Adventure', 'Sci-Fi']"
33. Bloodborne: The Old Hunters,2015,9.4,(2.6K),"In this DLC for Bloodborne (2015), the player-Hunter is transported to the sinister Hunter's Nightmare, a demented place where hunters who become drunk with blood are sent to.","['Action', 'Adventure', 'Fantasy']"
34. Baldur's Gate II: Shadows of Amn,2000,9.4,(2.4K),"Jon Irenicus, a sadistic secretive powerful mage bent on revenge, captures Gorion's ward and his/her party for a diabolical experiment.","['Action', 'Adventure', 'Fantasy']"
35. Split Fiction,2025,9.3,(567),"Embrace mind-blowing moments as you're pulled deep into the many worlds of Split Fiction, a boundary-pushing co-op adventure.","['Adventure', 'Fantasy', 'Sci-Fi']"
36. The Elder Scrolls V: Skyrim,2011,9.3,(35K),"After escaping execution, the last living Dragonborn must grow in strength and power to defeat the dragons that have once again begun to plague the land of Skyrim.","['Action', 'Adventure', 'Fantasy']"
37. Resident Evil 4,2023,9.3,(7.4K),"In this reimagining of the 2005 game, Leon Kennedy is sent on a mission to rescue the president's kidnapped daughter from a secluded European village where there is something terribly wrong with the locals.","['Action', 'Adventure', 'Drama']"
38. Cyberpunk 2077: Phantom Liberty,2023,9.3,(3.4K),Phantom Liberty is a new spy-thriller adventure for Cyberpunk 2077. Return as cyber-enhanced mercenary V and embark on a high-stakes mission of espionage and intrigue to save the NUS President.,"['Action', 'Adventure', 'Crime']"
39. Uncharted 2: Among Thieves,2009,9.3,(30K),"After being tracked down by Harry Flynn, Nathan Drake goes on a quest for Marco Polo's lost fleet. However when things take an unexpected turn for the worst, Drake must rely on those closest to him in order to find the Cintomani Stone.","['Action', 'Adventure', 'Fantasy']"
40. Bloodborne,2015,9.3,(8.6K),"A hunter awakens in the plagued lands of Yharnam, where the denizens have succumbed to beasthood, in an attempt to learn the truth and how to end the plague, unbeknownst of the true horror lurking within the city.","['Action', 'Adventure', 'Fantasy']"
41. Kingdom Hearts II,2005,9.3,(7.8K),"Sora and friends face mysterious new enemies as they continue their journey to save all worlds, and find Riku and King Mickey.","['Action', 'Adventure', 'Family']"
42. The Last of Us Part II Remastered,2024,9.3,(2K),"Five years after the events of The Last of Us, Ellie embarks on another journey through a post-apocalyptic America on a mission of vengeance against a mysterious militia.","['Action', 'Adventure', 'Drama']"
43. Elden Ring: Shadow of the Erdtree,2024,9.3,(1.6K),"In this DLC expansion for Elden Ring (2022), players step into the Land of Shadow to explore a new adventure full of mysteries and danger, to confront threatening bosses with new weapons and armor. Follow in the footsteps of Miquella and unravel the dark side of the Elden Ring story.","['Action', 'Adventure', 'Fantasy']"
44. Astro Bot,2024,9.3,(1.2K),"JOIN ASTRO IN A BRAND-NEW, SUPERSIZED SPACE ADVENTURE! The PS5® mothership has been wrecked, leaving ASTRO and the bot crew scattered all over the galaxies. Time to ride your trusty Dual Speeder across more than 50 planets full of fun, danger and surprises. On your journey, make the most of ASTRO's new powers and reunite with many iconic heroes from the PlayStation universe!","['Adventure', 'Comedy', 'Family']"
45. Half-Life: Alyx,2020,9.3,(1.2K),"A VR game of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Play as Alyx Vance, humanity's only chance for survival.","['Action', 'Adventure', 'Horror']"
46. Uncharted: The Nathan Drake Collection,2015,9.3,(6.8K),"A remastered collection of Uncharted: Drake's Fortune (2007), Uncharted 2: Among Thieves (2009), and Uncharted 3: Drake's Deception (2011) for PlayStation 4.","['Action', 'Adventure', 'Fantasy']"
47. The Secret of Monkey Island,1990,9.3,(3.4K),"Young pirate wanna-be Guybrush Threepwood sets out to pass the Three Trials, woo the governess Elaine Marley, reach the fabled Monkey Island and vanquish the nefarious ghost pirate LeChuck.","['Adventure', 'Comedy', 'Fantasy']"
48. Planescape: Torment,1999,9.3,(2.2K),"In the city of Sigil, the only place from which all realities of the Planescape universe can be reached, an immortal amnesiac, the Nameless One, must uncover his past, the mystery of his immortality as well as who's trying to kill him.","['Adventure', 'Drama', 'Fantasy']"
49. Batman: Arkham Collection,2018,9.3,(801),"Batman: Arkham Collection brings you the definitive versions of Rocksteady's Arkham Trilogy games, including all post-launch content, in one complete collection.","['Action', 'Adventure']"
50. Suikoden I&II HD Remaster: Gate Rune and Dunan Unification Wars,2025,9.3,(6),A hero's destiny is written in the Stars. The legendary Konami JRPGs Suikoden I and Suikoden II have now been remastered in HD.,['Adventure']
51. Ghost of Tsushima,2020,9.2,(19K),"Set in 1274 on the Tsushima Island, the last samurai, Jin Sakai, must master a new fighting style, the way of the Ghost, to defeat the Mongol forces and fight for the freedom and independence of Japan.","['Action', 'Adventure', 'Drama']"
52. Spider-Man,2018,9.2,(33K),"When a new villain threatens New York City, Peter Parker and Spider-Man's worlds collide. To save the city and those he loves, he must rise up and be greater.","['Action', 'Adventure', 'Fantasy']"
53. Alan Wake II,2023,9.2,(4.6K),"13 years after bestselling writer Alan Wake went missing, a string of ritualistic murders occur in the town of Bright Falls, Washington. Saga Anderson, an FBI agent, is sent to Bright Falls to investigate the murders.","['Action', 'Adventure', 'Crime']"
54. Silent Hill 2,2024,9.2,(2.4K),"Having received a letter from his deceased wife, James heads to where they shared so many memories, in the hope of seeing her one more time: Silent Hill. There, by the lake, he finds a woman eerily similar to her.","['Action', 'Adventure', 'Drama']"
55. Resident Evil 4,2005,9.2,(16K),"Six years after the events in Raccoon City, Leon Kennedy, now a federal agent, is sent to a rural part of Spain to rescue the U.S. President's kidnapped daughter, Ashley Graham from a sinister cult.","['Action', 'Adventure', 'Horror']"
56. Grand Theft Auto: Vice City,2002,9.2,(31K),"In 1986, after doing a 15 year prison stint for the Forelli crime family in Liberty City, gangster Tommy Vercetti is sent away to Vice City, Florida to take over the town and rise to the top of the criminal empire.","['Action', 'Crime']"
57. The Walking Dead: A Telltale Game Series,2012,9.2,(16K),"In a world devastated by the undead, a convicted criminal is given a second chance at life when he comes across a little girl named Clementine.","['Animation', 'Adventure', 'Drama']"
58. Max Payne,2001,9.2,(17K),"A troubled NYPD cop is framed for murder and finds himself being hunted by the police, the mob, and a ruthless corporation.","['Action', 'Crime', 'Drama']"
59. God of War II,2007,9.2,(12K),"After being betrayed by the gods of Olympus and annulled of his divine powers, Kratos must embark on a journey to meet the Sisters of Fate and take his revenge on Olympus.","['Action', 'Adventure', 'Fantasy']"
60. Persona 5,2016,9.2,(3.6K),A group of high school students create a vigilante group to expose the crimes of corrupt adults but soon find themselves in the midst of a worldwide conspiracy and targeted by powerful individuals who would do anything to silence them.,"['Action', 'Adventure', 'Comedy']"
61. P.T.,2014,9.2,(2.5K),"The player must navigate a series of continuously looping hallways, solving cryptic puzzles, all while being hunted by a hostile apparition named Lisa.","['Horror', 'Mystery']"
62. Xenoblade Chronicles X: Definitive Edition,2025,9.2,(9),Fight for survival while exploring the vast expanses of an alien world in Xenoblade Chronicles X: Definitive Edition for Nintendo Switch. This visually enhanced version of the epic sci-fi RPG features additional content including new story elements and more!,"['Action', 'Adventure', 'Drama']"
63. Shadow of the Colossus,2005,9.2,(4.8K),A young man brings a deceased woman to a forbidden land inhabited by colossal beings said to house the power to revive the dead.,"['Action', 'Adventure', 'Drama']"
64. The Walking Dead: The Telltale Definitive Series,2019,9.2,(1.5K),The popular award-winning episodic zombie apocalypse game series comes back. All 4 seasons + Michonne Mini-series + 400 Days DLC and some exclusives as a whole. The game is remastered by Skybound Games. The graphics and menus are reworked.,"['Drama', 'Horror', 'Sci-Fi']"
65. Castlevania: Symphony of the Night,1997,9.2,(1.9K),"In 1797, Shaft manages to regain power through a curse placed on Richter Belmont. Four years later, Dracula's son Alucard awakens from his eternal slumber, intent on destroying his evil father once and for all.","['Action', 'Adventure', 'Fantasy']"
66. Uncharted: Legacy of Thieves Collection,2022,9.2,(1.3K),Nathan Drake and Chloe Frazer are forced to confront their pasts and forge their own legacies.,"['Action', 'Adventure', 'Drama']"
67. Super Mario World,1990,9.2,(5.8K),"While Mario and Luigi are vacationing in Dinosaur Land, Bowser kidnaps the Princess. Mario and his new dino friend Yoshi go on a mission to save her.","['Action', 'Adventure', 'Family']"
68. Shin Megami Tensei: Persona 4,2008,9.2,(1.4K),"A high school student forms a group that explores a hidden world accessible through TV sets to find a connection between the ""realm of shadows"" and the mysterious murders in their town.","['Action', 'Adventure', 'Comedy']"
69. Super Mario Bros. 3,1988,9.2,(6.1K),"King Koopa has kidnapped Princess Toadstool, taken over all seven kingdoms in the Mushroom World, and put his seven kids in charge of all of them. It's the Mario Brothers to the rescue.","['Action', 'Adventure', 'Family']"
70. Deus Ex,2000,9.2,(3.6K),"In a dark cyberpunk future where poverty, disease, oppression and terrorism are widespread, J.C. Denton, a new cybernetically-enhanced special agent, finds evidence of a massive conspiracy when his brother, also an agent, goes rogue.","['Action', 'Adventure', 'Drama']"
71. The Legend of Zelda: A Link to the Past,1991,9.2,(4K),"The wizard Agahnim has abducted seven maidens, intent on using their power to open a portal to the Dark World. Armed with a trusty sword and shield, Link begins a great and treacherous journey.","['Action', 'Adventure', 'Fantasy']"
72. Kingdom Hearts II: Final Mix+,2007,9.2,(1.5K),Sora and friends must set out on another adventure to find his long lost friends and stop Organization XIII.,"['Action', 'Adventure', 'Family']"
73. Kingdom Hearts HD 2.5 Remix,2014,9.2,(1K),"After the events of Kingdom Hearts HD 1.5 Remix (2013), a boy named Roxas wakes up in Twilight Town trying to make it through his last days of summer vacation when he finds out that his dreams are actually Sora's memories and he must return them to him.","['Action', 'Adventure', 'Family']"
74. Batman: Return to Arkham,2016,9.2,(2.7K),Batman: Return to Arkham thrusts players back into the environments of Arkham Asylum and Arkham City with a remastered graphics engine and all DLC.,"['Action', 'Adventure', 'Crime']"
75. Monkey Island 2: LeChuck's Revenge,1991,9.2,(2.6K),"Having vanquished the ghost pirate LeChuck with a soft drink, Guybrush Threepwood now seeks the treasure of Big Whoop. During his quest he discovers LeChuck is back from the dead. Once again.","['Adventure', 'Comedy', 'Fantasy']"
76. The Legend of Zelda: Ocarina of Time 3D,2011,9.2,(1.5K),"In this update to Nintendo's classic adventure game, a young man named Link must gather the three Spiritual Stones and awaken the Seven Sages in order to overthrow Ganondorf, a tyrannical warlock terrorizing the land of Hyrule.","['Action', 'Adventure', 'Family']"
77. Kingdom Hearts HD 1.5 + 2.5 Remix,2017,9.2,(767),A re-release of Kingdom Hearts HD 1.5 Remix and Kingdom Hearts HD 2.5 Remix on the Playstation 4.,"['Action', 'Adventure', 'Family']"
78. Metal Gear Solid: Integral,1999,9.2,(436),"Expanded version of the original ""Metal Gear Solid"" in which a crack government anti-terrorist squad takes over an obscure Alaskan nuclear disposal facility and agent Solid Snake infiltrates the facility. Contains all VR missions.","['Action', 'Adventure', 'Drama']"
79. The Orange Box,2007,9.2,(878),"The Orange Box is a collection of five games. Half life 2, Half life 2: Episode 1, Half life 2: Episode 2, Team Fortress 2 and Portal.","['Action', 'Adventure', 'Comedy']"
80. Metal Gear Solid: HD Collection,2011,9.2,(176),"HD remasters of Metal Gear Solid 2: Sons of Liberty, Metal Gear Solid 3: Snake Eater, and Metal Gear Solid: Peace Walker. Also included is the original Metal Gear and Metal Gear 2: Solid Snake.","['Action', 'War']"
81. Detroit: Become Human,2018,9.1,(27K),Three androids go on a quest to discover who they really are.,"['Action', 'Adventure', 'Drama']"
82. It Takes Two,2021,9.1,(4.9K),"The clashing couple Cody and May are turned into dolls by a magic book. Together, trapped in a fantastical world where the unpredictable hides around every corner, they are reluctantly challenged with saving their fractured relationship.","['Adventure', 'Comedy', 'Drama']"
83. Spider-Man 2,2023,9.1,(9.4K),"Spider-Men, Peter Parker and Miles Morales, return for an exciting new adventure in the critically acclaimed Marvel's Spider-Man franchise.","['Action', 'Adventure', 'Crime']"
84. Final Fantasy VII Rebirth,2024,9.1,(1.5K),"Leaving Midgar behind and freed from the course of destiny, Cloud and his friends embark on a new journey across the planet of Gaia, as dangerous threats, old and new, await them.","['Action', 'Adventure', 'Drama']"
85. Mass Effect,2007,9.1,(21K),"In a technologically advanced future, an elite human soldier takes command of a prototype star ship and works to defend the galaxy from danger.","['Action', 'Adventure', 'Drama']"
86. God of War III,2010,9.1,(14K),"Armed with his deadly double-chained blades, Kratos must take on Greek mythology's darkest creatures to destroy Olympus and the mighty Zeus himself.","['Action', 'Adventure', 'Fantasy']"
87. Batman: Arkham Asylum,2009,9.1,(33K),"Batman battles his archenemy, the Joker, who instigates an elaborate plot to seize control of Arkham Asylum, trap Batman inside with many of his incarcerated foes, and threaten Gotham City with hidden bombs.","['Action', 'Crime', 'Mystery']"
