nome,ano,nota,votos,descricao,generos
121. Star Control 2,1992,9.1,(140),"In the early 22nd century, a lone starship returns to Earth to discover that it has been conquered by a race of alien slavers known as the Ur-Quan. Its crew embarks on a galaxy-wide quest to rekindle old alliances and overthrow the Ur-Quan once and for all.","['Action', 'Adventure', 'Sci-Fi']"
122. X-COM: UFO Defense,1994,9.1,(428),"Because aliens are attempting to invade the Earth, you will have to command X-com, an international organisation to fight the alien invasion. By shooting down UFO's and recovering information from the crash sites, you can research alien technology.","['Action', 'Sci-Fi', 'Thriller']"
123. Indiana Jones and the Great Circle,2024,9.0,(2K),"Uncover one of history's greatest mysteries in Indiana Jones and the Great Circle, a first-person, single-player adventure set between the events of Raiders of the Lost Ark and The Last Crusade.","['Action', 'Adventure']"
124. Batman: Arkham Knight,2015,9.0,(26K),"With his back against the wall, Batman turns to his closest allies to help him save Gotham City from the clutches of Scarecrow and the Arkham Knight's army. A familiar face also returns to give The Dark Knight a message he cannot ignore.","['Action', 'Crime', 'Mystery']"
125. Assassin's Creed II,2009,9.0,(27K),"Desmond Miles is trained to become a modern-day Assassin through the resurrected memories of ancestor Ezio Auditore da Firenze, who uncovers a massive Templar conspiracy in Renaissance Italy leading to the new Pope.","['Action', 'Adventure', 'History']"
126. God of War,2005,9.0,(13K),"After 10 years of endless nightmares and servitude to the gods of Olympus, Kratos is assigned with a final task, to kill Ares, the God of War.","['Action', 'Adventure', 'Fantasy']"
127. Resident Evil 2,2019,9.0,(12K),"Re-imagining of Resident Evil 2 (1998), with a third-person over-the-shoulder view, new details, rearranged and new areas, no more loading screen doors, new puzzle solving opportunities, a gunpowder crafting mechanic and more.","['Action', 'Adventure', 'Horror']"
128. Metal Gear Solid 2: Sons of Liberty,2001,9.0,(9.7K),"Two years after the death of Solid Snake, a rookie FOX-HOUND agent, on his first mission, infiltrates an offshore decontamination facility to rescue the President.","['Action', 'Adventure', 'Drama']"
129. Persona 3 Reload,2024,9.0,(783),"A modern day remake of Persona 3 (2006). A team of high school students with supernatural powers investigate the Dark Hour, a hidden 25th hour of the day where shadowy monsters roam and attack people, leaving them as soulless husks.","['Action', 'Adventure', 'Drama']"
130. Fallout 3,2008,9.0,(21K),"Centuries following nuclear war, a teen leaves the safety of an underground vault in order to find their father, who left in hopes of creating a water purifier.","['Action', 'Adventure', 'Sci-Fi']"
131. Uncharted 3: Drake's Deception,2011,9.0,(26K),"Treasure hunter Nathan Drake embarks on a quest in search of the Atlantis of the Sands while battling an ancient, sinister organization.","['Action', 'Adventure', 'Fantasy']"
132. Call of Duty 4: Modern Warfare,2007,9.0,(26K),"The Call of Duty series returns this time into a modern day setting. The player takes control of a character nicknamed ""Soap,"" for the majority of the campaign and will need to progress through many modern warfare scenarios.","['Action', 'Thriller']"
133. Silent Hill,1999,9.0,(6.7K),"Harry awakes from a car crash to notice his daughter, Cheryl, vanished. As he searches for her, through the eerie town of Silent Hill, a terrifying descent into the unknown is set.","['Drama', 'Horror', 'Mystery']"
134. Super Mario Odyssey,2017,9.0,(6.5K),Mario must travel to worlds unknown in order to stop Bowser from marrying Princess Peach.,"['Action', 'Adventure', 'Family']"
135. Resident Evil,2002,9.0,(5.2K),"Remake of the first game in which the RPD squad, Jill and Chris, are forced to flee into a mysterious mansion. Featuring new gameplay mechanics, revised puzzles, additional explorable areas, a revised script, and new story details.","['Action', 'Adventure', 'Horror']"
136. The Legend of Zelda: Majora's Mask,2000,9.0,(4.3K),"After becoming the hero of Hyrule, Link stumbles into the enchanted land of Termina, where a falling moon will crush the world in three days.","['Action', 'Adventure', 'Family']"
137. The Legend of Zelda: Twilight Princess,2006,9.0,(5.7K),"Link, a young man from a small farming village, finds Hyrule is being consumed by an otherworldly twilight. Guided by a strange pixie named Midna, he endeavors to return light to the land and confront the usurper king Zant.","['Action', 'Adventure', 'Fantasy']"
138. Omori,2020,9.0,(1.1K),A young man and his friends set out a quest to find a missing person while confronting his traumatic past and fears.,"['Adventure', 'Drama', 'Fantasy']"
139. Ori and the Will of the Wisps,2020,9.0,(1.8K),"Ori begins a new journey that goes beyond the forest of Nibel where he uncovers lost secrets, and unearths his true destiny.","['Adventure', 'Fantasy']"
140. Shenmue,1999,9.0,(1.4K),"Ryo, a respected Japanese student sees his father killed in front of his own eyes. He sets out to find the man in charge of his fathers death and the mystery of who and why?","['Action', 'Adventure', 'Crime']"
141. Super Mario Galaxy 2,2010,9.0,(3.2K),Mario goes back in the galaxy to save Princess Peach from Bowser.,"['Action', 'Adventure', 'Family']"
142. Indiana Jones and the Fate of Atlantis,1992,9.0,(1.8K),"Indiana Jones must fight the nazis again in search for Atlantis and a newly discovered mineral of unbelievable power, the Orichalcum.","['Action', 'Adventure', 'Fantasy']"
143. The Legend of Zelda: The Wind Waker,2002,9.0,(3.9K),"After his sister gets kidnapped from their peaceful island, a young boy aims to emulate the Hero of Time by saving her.","['Action', 'Adventure', 'Fantasy']"
144. Kingdom Hearts HD 1.5 Remix,2013,9.0,(957),"A compilation of three classic games, Kingdom Hearts Final Mix (updated version of the original Kingdom Hearts game, Kingdom Hearts Re: Chain of Memories (2007) and Kingdom Hearts: 358/2 Days (2009).","['Action', 'Adventure', 'Family']"
145. Diablo II,2000,9.0,(4.9K),"Evil has survived. Diablo, the Lord of Terror, now seeks to free his demonic brothers. The armies of the High Heavens are forbidden to interfere with Diablo's plan.","['Action', 'Adventure', 'Fantasy']"
146. Super Smash Bros. Melee,2001,9.0,(3.6K),"Smash Bros. installment for the GameCube with fast-paced, highly competitive and technical gameplay of realtime chess and hype using various Nintendo characters, with simple controls yet deep mechanics.","['Action', 'Fantasy', 'Sci-Fi']"
147. Gabriel Knight: Sins of the Fathers,1993,9.0,(781),"Gabriel Knight, the owner of a New Orleans, Louisiana bookstore, gets tangled up in the investigation of a series of voodoo-related murders currently plaguing the city.","['Adventure', 'Drama', 'Horror']"
148. Xenogears,1998,9.0,(802),Young warrior and artist Fei Fong Wong sets off on a journey that tests his faith as well as courage as he is suddenly thrown into a battle where no one is who they seem.,"['Action', 'Adventure', 'Drama']"
149. Baldur's Gate II: Throne of Bhaal,2001,9.0,(1.4K),"The main character, Gorion's ward, and his or her party must overcome five children of the dead god Bhaal, who've raised armies to conquer the world through carnage and claim their father's sinister throne and title.","['Action', 'Adventure', 'Fantasy']"
150. Dark Souls III: The Ringed City,2017,9.0,(839),"In the second expansion of ""Dark Souls III (2016)"", conceived as a conclusion to the series, the Ashen One traverses the Earthen Peak from ""Dark Souls II (2014)"" before fighting the last Demon Prince in the Firelink Shrine from ""Dark Souls (2011)"".","['Action', 'Adventure', 'Fantasy']"
151. Metal Gear Solid 2: Substance,2002,9.0,(2.3K),"Enhanced version of Metal Gear Solid 2: Sons of Liberty (2001) in which two years after the death of Snake, a rookie FOX-HOUND agent infiltrates an offshore facility. It adds VR missions, 5 short-story missions with Snake at the helm, a ""Skater Mode"" and more.","['Action', 'Adventure', 'Drama']"
152. StarCraft: Brood War,1998,9.0,(2.5K),After the events of StarCraft (1998) the Protoss try to unite their divided race while still fighting the weakened Zerg which is also attacked by human expedition from Earth.,"['Action', 'Adventure', 'Sci-Fi']"
153. Heroes of Might and Magic III: The Restoration of Erathia,1999,9.0,(1.4K),"Turn-based strategy game in which the player goes through 7 different campaigns, controlling a number of heroes that command an army of creatures inspired by myth and legend.","['Action', 'Adventure', 'Fantasy']"
154. Dark Souls: Artorias of the Abyss,2012,9.0,(795),"In the expansion for ""Dark Souls (2011)"", the Chosen Undead is dragged into the past land of Oolacile by Manus, Father of the Abyss. The land and its' hero Artorias have been corrupted. The Chosen Undead has to defeat Artorias and Manus.","['Action', 'Adventure', 'Fantasy']"
155. Metal Gear: Ghost Babel,2000,9.0,(1.2K),"In this non-canonical sequel to Metal Gear Solid, Solid Snake is called upon from his home in Alaska to infiltrate an enemy base searching for Metal Gear.","['Action', 'Adventure', 'Sci-Fi']"
156. The Legend of Zelda: The Wind Waker HD,2013,9.0,(1.5K),"A young boy must sail the great sea in order to save his sister from a monstrous bird and become the hero he was prophesised to be, by defeating a dark lord who intends to send the world into peril.","['Action', 'Adventure', 'Fantasy']"
157. Gothic II: Night of the Raven,2003,9.0,(489),"Expansion pack for Gothic II (2002) with the addition of a world called Jharkendar, and new attributes, items, and weapons.","['Action', 'Adventure', 'Fantasy']"
158. Master of Orion II: Battle at Antares,1996,9.0,(169),"Lead an alien race to victory in a wide, opportune galaxy! Play as the Elf-like Elerians, The Bear-sized Bulrathi, or the robotic Meklars.",['Sci-Fi']
159. Grand Theft Auto IV,2008,8.9,(40K),"Niko Bellic comes to Liberty City, America to live the good life, but ends up having to assist his dangerously indebted cousin Roman with his financial troubles, by any (mostly illegal) means necessary.","['Action', 'Crime', 'Drama']"
160. Horizon Zero Dawn,2017,8.9,(20K),"In a primitive tribal world where strange, monstrous, animalistic machines roam the wilderness, a brave young female warrior goes on a quest to learn the truth about her mysterious origin and the state the world is in.","['Action', 'Adventure', 'Sci-Fi']"
161. Horizon Forbidden West,2022,8.9,(7.7K),Aloy treks into an arcane region and faces new hostile enemies and threats in search of a way to heal the world from a deadly blight and catastrophic storms.,"['Action', 'Adventure', 'Sci-Fi']"
162. Fallout: New Vegas,2010,8.9,(15K),"After surviving a bullet to the head, Courier Six traverses the post-apocalyptic Mojave desert in search of the men who wronged him, while making an impact on thousands in the process.","['Action', 'Adventure', 'Sci-Fi']"
163. Final Fantasy VII Remake,2020,8.9,(5.8K),Re-imagining of Final Fantasy VII (1997). A former soldier joins an eco-terrorist group in a mission against the electric power company he used to work for in order to protect the planet and all who reside on it.,"['Action', 'Adventure', 'Drama']"
164. Black Myth: Wukong,2024,8.9,(1.6K),"Black Myth: Wukong is an action RPG rooted in Chinese mythology. You shall set out as the Destined One to venture into the challenges and marvels ahead, to uncover the obscured truth beneath the veil of a glorious legend from the past.","['Action', 'Adventure', 'Fantasy']"
165. The Elder Scrolls IV: Oblivion,2006,8.9,(13K),"After being freed by the Emperor of Tamriel, the hero must prevent the gates of Oblivion from spreading throughout the Empire.","['Action', 'Adventure', 'Fantasy']"
166. Sekiro: Shadows Die Twice,2019,8.9,(5.7K),"Set in a reimagining of 1500s Sengoku era Japan. An unnamed shinobi, tasked with protecting a young lord of mystical lineage, who is left for dead when a powerful samurai attacks and chops off his arm.","['Action', 'Adventure', 'Fantasy']"
167. Resident Evil,1996,8.9,(6.2K),"The RPD are investigating strange cannibalized corpses on the outskirts of the city. The Alpha squad, Jill and Chris, are sent to locate missing team members. While there, mutated dogs cause them to flee into a supposedly abandoned mansion.","['Action', 'Horror', 'Mystery']"
168. The Last of Us: Left Behind,2014,8.9,(13K),"Find out what set Ellie on her course to the life changing events in The Last of Us (2013), whilst filling in the gaps during winter with Joel.","['Action', 'Adventure', 'Drama']"
169. Yakuza 0,2015,8.9,(2.4K),"Kiryu and Majima, both Yakuza's who are in different cities in Japan in 1988, as the fate of the two characters become intertwined in a gritty, violent, and often touching narrative.","['Action', 'Crime', 'Drama']"
170. Hades,2018,8.9,(3.1K),"Hades is a rogue-like dungeon crawler from the creators of Bastion and Transistor, in which you defy the god of death as you hack and slash your way out of the Underworld of Greek myth.","['Action', 'Adventure', 'Fantasy']"
171. Hollow Knight,2017,8.9,(4K),"In a world of insects, a diminutive knight descends into an ancient and crazed kingdom to restore its fallen king's order.","['Action', 'Adventure', 'Fantasy']"
172. Super Mario Bros.,1985,8.9,(7.5K),A plumber named Mario and his brother Luigi travel through the Mushroom Kingdom to save the princess from the evil Bowser.,"['Action', 'Adventure', 'Fantasy']"
173. Star Wars: Knights of the Old Republic II - The Sith Lords,2004,8.9,(5.8K),You play an exiled and depowered Jedi Knight who has returned to the Republic and must restore both your powers and the devastated Jedi Order to challenge the Sith.,"['Action', 'Adventure', 'Drama']"
174. Xenoblade Chronicles 3,2022,8.9,(472),"In the world of Aionios, two nations are locked in conflict: Keves, a technological powerhouse and Agnus, a magic-based society. Six soldiers hailing from these nations, will take part in a grand tale with life as its central theme.","['Action', 'Adventure', 'Drama']"
175. Xenoblade Chronicles,2010,8.9,(875),"In a world of endless ocean, all life lives on the decaying corpses of two gigantic titans, the Bionis and Mechonis. When the army of Mechonis attacks his home, young scientist Shulk sets out for revenge.","['Action', 'Adventure', 'Drama']"
176. Fire Emblem: Three Houses,2019,8.9,(1K),"On the continent of Fódlan, divided between three rival nations, a newly hired professor at Garreg Mach Monastery must choose a nation to support and guide just as a conspiracy begins to reopen Fódlan's dark and violent past.","['Adventure', 'Drama', 'Family']"
177. Baldur's Gate,1998,8.9,(2.1K),"The main character, ward of mystical monk Gorion, whose name, sex, race and class are defined by the players, leaves his order's keep for the first time and starts a journey to discover his true identity. But someone wants him dead.","['Action', 'Adventure', 'Fantasy']"
178. Assassin's Creed: The Ezio Collection,2016,8.9,(1.4K),"Compilation of Assassin's Creed II (2009), Assassin's Creed: Brotherhood (2010) and Assassin's Creed: Revelations (2011). The edition is named after Ezio Auditore da Firenze, the protagonist for each of the three games.","['Action', 'Adventure', 'Fantasy']"
179. Halo: The Master Chief Collection,2014,8.9,(2.9K),"Compilation of Master Chief's entire story. Featuring a re-mastered Halo 2: Anniversary, along with Halo: Anniversary, Halo 3, Halo 4, Halo Nightfall, and access to the Halo 5 Multiplayer Beta.","['Action', 'Adventure', 'Sci-Fi']"
180. The Beast Within: A Gabriel Knight Mystery,1995,8.9,(895),"Shortly after moving to Rittersburg to take over duties as the lone ""Schattenjager"", Gabriel Knight is called by the townsfolk to investigate the killing of a child believed to be caused by a werewolf.","['Adventure', 'Drama', 'Horror']"
181. Metal Gear Solid: The Twin Snakes,2004,8.9,(1.8K),A retired mercenary is called upon by the U.S. government to handle a hostile takeover of an Alaskan military base by his former special forces group. A remake of Metal Gear Solid (1998).,"['Action', 'Adventure', 'Drama']"
182. Warcraft III: The Frozen Throne,2003,8.9,(3.8K),"Survivors in the reign of chaos try to resolve their differences in a new world, that was shaped after the fall of the Burning Legion.","['Action', 'Adventure', 'Fantasy']"
183. EarthBound,1994,8.9,(1.3K),"Ness, a boy from Onett, Eagleland, teams up with new friends to defeat an Evil Destroyer named Giygas. During the epic pursuits, Ness and his allies attempt to find the sacred Eight Melodies.","['Adventure', 'Comedy', 'Fantasy']"
184. Shin Megami Tensei: Persona 3,2006,8.9,(988),A new student arrives at a school full of monsters that attack at night. A team of Persona users recruit him to help battle alongside them to rid the monsters for good.,"['Action', 'Adventure', 'Drama']"
185. System Shock 2,1999,8.9,(1.3K),"An agent is deployed on a mission to explore a distant planet, but instead wakes up from his cryosleep five months later only to discover that the ship's artificial intelligence has been corrupted and the humans infected by an alien race.","['Action', 'Adventure', 'Horror']"
186. The Neverhood,1996,8.9,(682),"Long ago, a mysterious being known as Hoborg created a world called the Neverhood, made entirely of an odd substance known as ""Klay."" However, Hoborg was lonely and, using a mystical ""life seed"", created a ""Klay man"" that he called Klogg.","['Animation', 'Adventure', 'Comedy']"
187. Day of the Tentacle,1993,8.9,(2.1K),"A disembodied tentacle is accidentally exposed to nuclear waste, giving it human abilities and an ambition to take over the world.","['Animation', 'Adventure', 'Comedy']"
188. Persona 3 FES,2007,8.9,(1K),A new student arrives at a school full of monsters that attack at night. A team of Persona users recruit him to help battle alongside them to rid the monsters for good.,"['Action', 'Adventure', 'Drama']"
189. Warcraft III: Reign of Chaos,2002,8.9,(4K),"Years after the fall of the Orcish Horde to the human Alliance of Lordaeron, the remaining humans and orcs find themselves facing a common enemy: the demons of the Burning Legion and their armies of undead monsters.","['Action', 'Adventure', 'Fantasy']"
190. The Longest Journey,1999,8.9,(1.2K),"April Ryan is a young visual-arts student in Venice, Newport. She's been having some strange dreams lately, but little does she know about the important role she'll have in changing the future.","['Adventure', 'Drama', 'Fantasy']"
191. Der Eisendrache,2016,8.9,(315),"Shortly following the Giant, Primis finds themselves on a suicide mission to Griffin Castle. ""Tank"" Dempsey is forced to face his demons and the Panzer once again as Richtofen redeems himself through various acts of heroism.","['Action', 'Drama', 'Horror']"
192. Gothic,2001,8.9,(933),An unnamed hero gets thrown in a colony of prisoners surrounded by a magical barrier.,"['Action', 'Adventure', 'Fantasy']"
193. Paper Mario: The Thousand-Year Door,2004,8.9,(1.8K),Mario must find all the seven crystal stars to enter the Thousand-Year-Door and save Princess Peach.,"['Adventure', 'Fantasy']"
194. Broken Sword: Circle of Blood,1996,8.9,(1.3K),"George Stobbart, an American tourist in Paris, attempts to unravel a conspiracy when he witnesses a bomb attack on a small Parisian cafe.","['Adventure', 'Comedy', 'Drama']"
195. Super Mario All-Stars,1993,8.9,(1.3K),"A compilation of Super Mario Bros. and its two sequels, along with the Japanese version of Super Mario Bros. 2 (The Lost Levels) , completely remade with new graphics for the Super NES.","['Action', 'Adventure', 'Family']"
196. The Pandora Directive,1996,8.9,(307),"In a neo-noir post-WWIII future, an old man hires Tex Murphy, a witty mellow private detective, to find his friend, a former government scientist. The clues lead Tex to a serial killer, NSA and an ominous project called Pandora.","['Action', 'Adventure', 'Comedy']"
197. Astro Bot: Rescue Mission,2018,8.9,(319),"ASTRO BOT Rescue Mission is a brand new platformer, developed exclusively for use with PS VR. Take control of ASTRO the captain BOT and go on an epic VR rescue mission to save your fellow crew who are dispersed all over space. ... Each level features original traps and enemies, and contains 8 lost Bots for you to save.","['Adventure', 'Comedy', 'Family']"
198. Skies of Arcadia,2000,8.9,(305),Vyse and his crew of sky pirates work together to stop an evil empress from reawakening an ancient weapon.,"['Action', 'Adventure', 'Fantasy']"
199. Outer Wilds: Echoes of the Eye,2021,8.9,(229),A strange satellite photo leads to one last journey into the wilds to discover the solar system's darkest secret.,"['Adventure', 'Mystery', 'Sci-Fi']"
200. Shenmue II,2001,8.9,(955),Ryo continues his quest of vengence for his father. In his second outing Ryo must travel to Hong Kong to have a lethal face off with Lan-Di.,"['Action', 'Adventure', 'Crime']"
201. Civilization II,1996,8.9,(1K),"Turn-based strategy game Civilization II introduces an isometric view, new concepts such as firepower and hit points, and changes to some units' abilities and strengths.","['Adventure', 'History']"
202. Twinsen's Odyssey,1997,8.9,(249),"In his second adventure, Twinsen sets out to heal his injured Dinofly. Before completing this task, visitors from another planet come to Twinsun. Because of their strange behavior, our hero embarks on an epic journey to uncover the truth.",['Adventure']
203. Dark Souls Trilogy,2018,8.9,(225),"Collection that includes ""Dark Souls: Remastered (2018)"", ""Dark Souls II: Scholar of the First Sin (2015)"" and ""Dark Souls III: The Fire Fades Edition (2017)"", meaning it includes all the base games in their latest versions as well as all the expansion packs.","['Action', 'Adventure', 'Fantasy']"
204. Terranigma,1995,8.9,(257),"Ark, a boy from the underworld, is drawn by two opposing forces to resurrect all of the Planet's living things, and to lead their growth into civilization.","['Action', 'Adventure', 'Drama']"
205. Jagged Alliance 2,1999,8.9,(349),"Tactical role-playing game that puts the player in control of several mercenaries that must explore and reclaim towns and territories in the fictional country of Arulco, which is ruled by the ruthless monarch Deidranna.",['Action']
206. The Last of Us: Part II,2020,8.8,(46K),"Five years after the events of The Last of Us, Ellie embarks on another journey through a post-apocalyptic America on a mission of vengeance against a mysterious militia.","['Action', 'Adventure', 'Drama']"
207. Star Wars Jedi: Survivor,2023,8.8,(7.1K),Young Jedi Knight Cal Kestis and his friends continue in their struggle to survive the tyranny of the Galactic Empire while racing to reach a shrouded planet that can serve as a safe haven.,"['Action', 'Adventure', 'Drama']"
208. Death Stranding Director's Cut,2021,8.8,(1.5K),"Sam Porter Bridges' mission is to journey across a post apocalyptic United States of America in order to reconnect the country and protect itself from dangerous entities called Beached Things. Along the way, Sam will discover dark secrets that could change everything. This game now has added content.","['Action', 'Adventure', 'Drama']"
209. Far Cry 3,2012,8.8,(23K),"While skydiving, Jason Brody and his friends land on an island overrun by pirates, where Jason is torn between fighting for the Rakyat resistance and rescuing his friends.","['Action', 'Adventure', 'Crime']"
210. Heavy Rain,2010,8.8,(16K),"As a child goes missing, his father tirelessly works to rescue him, while a journalist, an FBI agent, and a private detective try to identify his kidnapper known only as the ""Origami Killer"".","['Action', 'Adventure', 'Crime']"
211. Life is Strange,2015,8.8,(15K),An awkward photography student named Max Caulfield discovers her ability to rewind time and reunites with her estranged best friend Chloe Price to investigate the mysterious disappearance of a local girl.,"['Adventure', 'Drama', 'Mystery']"
212. Call of Duty: Modern Warfare 2,2009,8.8,(27K),"A massacre at a Russian airport leads to a war between Russia and the United States. Meanwhile, a Task Force is sent to find the perpetrators and bring the bloodshed to an end.",['Action']
213. NieR: Automata,2017,8.8,(4.2K),"In the forsaken wasteland below, the war between the machines and the androids rages on. A war that is soon to unveil the long-forgotten truth of this world.","['Action', 'Adventure', 'Drama']"
214. Bleach: Rebirth of Souls,2025,8.8,(43),Awaken the blade within you and reverse your fate in BLEACH Rebirth of Souls! Engage in thrilling battles with powerful sword abilities and characters from this legendary anime franchise.,['Action']
215. Dead Space,2023,8.8,(3.2K),"Set in the 26th century, the story follows engineer Isaac Clarke on a mission to repair the USG Ishimura, a mining spaceship that has been overrun by undead creatures called Necromorphs.","['Action', 'Adventure', 'Horror']"
216. The Wolf Among Us,2013,8.8,(8.9K),"As Bigby Wolf, the big bad wolf in human form, you will discover that the brutal, bloody murder of a Fable is just a taste of things to come when another dead Fable is found which starts the hunt for a serial killer.","['Animation', 'Action', 'Crime']"
217. The Warriors,2005,8.8,(2.2K),"The Warriors, a gang from Coney Island, go to a gang leader's meeting, when suddenly the gang leader is shot and killed. Framed for this murder, they must travel all the way back to Coney with 60,000 gang members standing in their way.","['Action', 'Crime', 'Thriller']"
218. Halo 3,2007,8.8,(13K),Master Chief and the Arbiter must join together to attack the Covenant and destroy the Flood.,"['Action', 'Adventure', 'Sci-Fi']"
219. Halo: Combat Evolved,2001,8.8,(13K),"Super-soldier John-117, Master Chief of the United Nations Space Command, must battle a genocidal alien race known as the Covenant following his violent crash-landing on Halo, an ancient and mysterious ring-world.","['Action', 'Adventure', 'Sci-Fi']"
220. The Witcher 2: Assassins of Kings,2011,8.8,(7K),"After being framed for a murder, a monster slayer must find the assassin and clear his name.","['Action', 'Adventure', 'Drama']"
221. Undertale,2015,8.8,(5.3K),"Enter the Underground, a massive subterranean cave where monsters who once lived harmoniously with humans on the surface have been banished after losing a war with humanity.","['Adventure', 'Comedy', 'Drama']"
222. Super Smash Bros. Ultimate,2018,8.8,(4.7K),"Super Smash Bros. Ultimate for the Nintendo Switch brings back every fighter in the history of the series, adds newcomers and over 100 stages, and introduces a new adventure mode called ""World of Light''.","['Action', 'Adventure', 'Fantasy']"
223. Dead Space,2008,8.8,(11K),"Engineer Isaac Clarke and his crew get stranded on a large, abandoned mining ship. There, Clarke needs to repair the giant ship while battling nasty aliens and solving the mystery of what happened to the ship.","['Action', 'Horror', 'Mystery']"
224. Wing Commander IV: The Price of Freedom,1995,8.8,(859),It is several years after mankind's war against the Kilrathi. Col. Christopher Blair is called back into duty by the Terran Confederation to help stop acts of terrorism that appear to be taking place against Confed by Border Worlds forces.,"['Action', 'Adventure', 'Sci-Fi']"
225. Conker's Bad Fur Day,2001,8.8,(1.6K),"The vulgar adventures and exploits of a squirrel with a hangover, just trying to get back home while being forced to save the world.","['Action', 'Adventure', 'Comedy']"
226. Hitman: Blood Money,2006,8.8,(6.1K),"A larger, more powerful agency is systematically eliminating assassins in a series of hits, who are all from Agent 47's contract killing firm, The International Contract Agency (ICA).","['Action', 'Crime', 'Mystery']"
227. Tales from the Borderlands,2014,8.8,(4.6K),"Corporate stooge Rhys, and Con woman Fiona team up to discover the secret of an alien vault on the dangerous planet Pandora.","['Adventure', 'Comedy', 'Sci-Fi']"
228. Blade Runner,1997,8.8,(2.1K),"You play a blade runner investigating a series of violent replicant crimes, only to discover far more than you bargained for.","['Mystery', 'Sci-Fi', 'Thriller']"
229. Dead Space 2,2011,8.8,(7.6K),"Set three years after the events of the first, Isaac Clarke's fight against a new Necromorph outbreak on the Sprawl, a space station above Saturn's largest moon, Titan.","['Action', 'Adventure', 'Horror']"
230. South Park: The Stick of Truth,2014,8.8,(6.1K),"As the New Kid, discover the lost Stick of Truth, and earn your place at the side of Stan, Kyle, Cartman and Kenny as their new friend.","['Animation', 'Action', 'Adventure']"
231. Star Wars: Battlefront II,2005,8.8,(7.6K),Play as the foot soldier of the galaxy's greatest factions and wage war across countless planets.,"['Action', 'Adventure', 'Sci-Fi']"
232. The First Berserker: Khazan,2025,8.8,(24),"The First Berserker: Khazan is a hardcore action role-playing game. The player will become Khazan, the great general of the Pelos empire, whom overcame death, and sets out to reveal the incidents that led to his downfall and seek vengeance on his enemies.","['Action', 'Adventure']"
233. Halo 2: Anniversary,2014,8.8,(897),"As the alien Covenant invade Earth, the Master Chief must defend humanity's homeworld whilst discovering more about the rings called ""Halo.""","['Action', 'Adventure', 'Sci-Fi']"
234. StarCraft II: Wings of Liberty,2010,8.8,(3.7K),"Four years after the events of StarCraft: Brood War (1998), Jim Raynor fights against the Dominion and begins a search for artifacts when at the same time the Zerg attack once again.","['Action', 'Adventure', 'Sci-Fi']"
235. XCOM 2: War of the Chosen,2017,8.8,(459),Expansion pack for XCOM 2 (2016). Twenty years have passed since world leaders offered an unconditional surrender to alien forces. But at the edges of the world a force gathers once again to stand up for humanity.,"['Action', 'Sci-Fi', 'Thriller']"
236. Sly 2: Band of Thieves,2004,8.8,(1.4K),"Two years after defeating Clockwerk, Sly Cooper and his band of thieves must recover and destroy all of the stolen Clockwerk parts from a sinister organization before their old nemesis can return from the dead.","['Action', 'Adventure', 'Comedy']"
237. Wing Commander III: Heart of the Tiger,1994,8.8,(881),"When the Terran Confederation faces the possibility of humanity losing the war with the Kilrathi, Colonel Christopher Blair (Mark Hamill), who the Kilrathi have dubbed ""The Heart of the Tiger"", is summoned.","['Action', 'Adventure', 'Sci-Fi']"
238. Final Fantasy IX,2000,8.8,(5.7K),"When bandits try to kidnap the princess, they discover that it's the princess who wants to be kidnapped. But they are chased by an evil queen and an even more powerful entity.","['Action', 'Adventure', 'Fantasy']"
239. Dark Souls: Remastered,2018,8.8,(767),"Remastered version of ""Dark Souls (2011)"" that also includes the expansion ""Dark Souls: Artorias of the Abyss (2012)"".","['Action', 'Adventure', 'Fantasy']"
240. Eternal Darkness: Sanity's Requiem,2002,8.8,(866),"Over the course of two millenia, twelve men and women are linked together by an accursed book known as the Tome of Eternal Darkness.","['Adventure', 'Fantasy', 'Horror']"
241. Freelancer,2003,8.8,(593),You play a freelance pilot who makes a living as a mercenary who gets targeted in a conspiracy for alien artifacts.,"['Action', 'Adventure', 'Mystery']"
242. Metroid Prime,2002,8.8,(2.3K),"A Space Pirate distress signal draws bounty hunter Samus Aran to Tallon IV, a world she discovers is being consumed by a terrible poison.","['Action', 'Adventure', 'Mystery']"
243. The House in Fata Morgana,2012,8.8,(251),"You awaken in a decrepit old mansion. A woman with eyes of jade stands before You, informing You that You are the Master of the house, and she Your Maid. However, You have no memories, no concept of self--or, indeed, any certainty that You are even alive. The Maid invites You to join her on a journey through the mansion's lifeless halls, to behold the numerous tragedies that have befallen its residents. She suggests that among them, perhaps You will find some trace of Yourself.","['Drama', 'Horror', 'Mystery']"
244. Titanic: Adventure Out of Time,1996,8.8,(343),A video game about a british espionage agent sent back in time to a failed mission aboard Titanic. At stake: The fate of the entire world!,"['Action', 'Adventure', 'Mystery']"
245. Pokémon: Red Version,1996,8.8,(3K),Play as a young Pokémon trainer trying to catch all 150 Pokémon.,"['Action', 'Adventure', 'Fantasy']"
246. Dragon Quest VIII,2004,8.8,(850),"The game begins with the court jester of the kingdom of Trodain, Dhoulmagus, stealing an ancient scepter and casting a spell on Trodain castle.","['Action', 'Adventure', 'Drama']"
247. Okami,2006,8.8,(1.4K),"A cel-shaded action game set in feudal Japan, in which the wolf deity Amaterasu defends the land from evil forces.","['Action', 'Adventure', 'Fantasy']"
